estrato;arv;idespecie;datamed1;datamed2;dap1;dap2
1;43;1;01/07/1995;01/07/2000;5,25;6,53
1;44;1;01/07/1995;01/07/2000;5,25;6,84
1;45;1;01/07/1995;01/07/2000;5,25;6,84
1;46;1;01/07/1995;01/07/2000;5,25;7
1;47;1;01/07/1995;01/07/2000;5,25;7,16
1;48;1;01/07/1995;01/07/2000;5,28;6,37
1;49;1;01/07/1995;01/07/2000;5,41;5,57
1;50;1;01/07/1995;01/07/2000;5,41;5,73
1;51;1;01/07/1995;01/07/2000;5,41;6,05
1;52;1;01/07/1995;01/07/2000;5,41;6,21
1;53;1;01/07/1995;01/07/2000;5,41;6,37
1;54;1;01/07/1995;01/07/2000;5,41;6,84
1;55;1;01/07/1995;01/07/2000;5,41;6,84
1;56;1;01/07/1995;01/07/2000;5,41;7,16
1;57;1;01/07/1995;01/07/2000;5,41;7,32
1;58;1;01/07/1995;01/07/2000;5,41;7,32
1;59;1;01/07/1995;01/07/2000;5,41;7,48
1;60;1;01/07/1995;01/07/2000;5,41;7,64
1;61;1;01/07/1995;01/07/2000;5,41;7,64
1;62;1;01/07/1995;01/07/2000;5,41;8,28
1;63;1;01/07/1995;01/07/2000;5,41;8,59
1;64;1;01/07/1995;01/07/2000;5,47;6,68
1;65;1;01/07/1995;01/07/2000;5,57;5,57
1;66;1;01/07/1995;01/07/2000;5,57;7,16
1;67;1;01/07/1995;01/07/2000;5,57;7,48
1;68;1;01/07/1995;01/07/2000;5,57;8,12
1;69;1;01/07/1995;01/07/2000;5,57;8,28
1;70;1;01/07/1995;01/07/2000;5,57;8,59
1;71;1;01/07/1995;01/07/2000;5,57;8,59
1;72;1;01/07/1995;01/07/2000;5,57;8,75
1;73;1;01/07/1995;01/07/2000;5,57;8,91
1;74;1;01/07/1995;01/07/2000;5,67;8,28
1;75;1;01/07/1995;01/07/2000;5,73;6,37
1;76;1;01/07/1995;01/07/2000;5,73;6,84
1;77;1;01/07/1995;01/07/2000;5,73;7
1;78;1;01/07/1995;01/07/2000;5,73;7
1;79;1;01/07/1995;01/07/2000;5,73;7
1;80;1;01/07/1995;01/07/2000;5,73;7
1;81;1;01/07/1995;01/07/2000;5,73;7
1;82;1;01/07/1995;01/07/2000;5,73;7,16
1;83;1;01/07/1995;01/07/2000;5,73;7,16
1;84;1;01/07/1995;01/07/2000;5,73;7,48
1;85;1;01/07/1995;01/07/2000;5,73;7,64
1;86;1;01/07/1995;01/07/2000;5,73;7,8
1;87;1;01/07/1995;01/07/2000;5,73;7,8
1;88;1;01/07/1995;01/07/2000;5,73;7,96
1;89;1;01/07/1995;01/07/2000;5,73;8,12
1;90;1;01/07/1995;01/07/2000;5,73;8,12
1;91;1;01/07/1995;01/07/2000;5,73;8,44
1;92;1;01/07/1995;01/07/2000;5,73;8,75
1;93;1;01/07/1995;01/07/2000;5,73;8,91
1;94;1;01/07/1995;01/07/2000;5,89;5,89
1;95;1;01/07/1995;01/07/2000;5,89;6,37
1;96;1;01/07/1995;01/07/2000;5,89;6,53
1;97;1;01/07/1995;01/07/2000;5,89;6,84
1;98;1;01/07/1995;01/07/2000;5,89;7
1;99;1;01/07/1995;01/07/2000;5,89;7,32
1;100;1;01/07/1995;01/07/2000;5,89;7,64
1;101;1;01/07/1995;01/07/2000;5,89;8,91
1;102;1;01/07/1995;01/07/2000;5,92;8,44
1;103;1;01/07/1995;01/07/2000;5,95;8,91
1;104;1;01/07/1995;01/07/2000;6,02;6,05
1;105;1;01/07/1995;01/07/2000;6,02;7,32
1;106;1;01/07/1995;01/07/2000;6,05;6,21
1;107;1;01/07/1995;01/07/2000;6,05;6,53
1;108;1;01/07/1995;01/07/2000;6,05;6,68
1;109;1;01/07/1995;01/07/2000;6,05;7,16
1;110;1;01/07/1995;01/07/2000;6,05;7,32
1;111;1;01/07/1995;01/07/2000;6,05;7,32
1;112;1;01/07/1995;01/07/2000;6,05;7,64
1;113;1;01/07/1995;01/07/2000;6,05;7,8
1;114;1;01/07/1995;01/07/2000;6,05;7,96
1;115;1;01/07/1995;01/07/2000;6,05;7,96
1;116;1;01/07/1995;01/07/2000;6,05;7,96
1;117;1;01/07/1995;01/07/2000;6,05;8,12
1;118;1;01/07/1995;01/07/2000;6,05;9,07
1;119;1;01/07/1995;01/07/2000;6,05;9,87
1;120;1;01/07/1995;01/07/2000;6,08;7,16
1;121;1;01/07/1995;01/07/2000;6,18;7,8
1;122;1;01/07/1995;01/07/2000;6,18;8,12
1;123;1;01/07/1995;01/07/2000;6,21;6,37
1;124;1;01/07/1995;01/07/2000;6,21;7,64
1;125;1;01/07/1995;01/07/2000;6,21;7,64
1;126;1;01/07/1995;01/07/2000;6,21;7,64
1;127;1;01/07/1995;01/07/2000;6,21;7,8
1;128;1;01/07/1995;01/07/2000;6,21;8,28
1;129;1;01/07/1995;01/07/2000;6,21;8,44
1;130;1;01/07/1995;01/07/2000;6,24;7,96
1;131;1;01/07/1995;01/07/2000;6,37;6,84
1;132;1;01/07/1995;01/07/2000;6,37;7
1;133;1;01/07/1995;01/07/2000;6,37;7,64
1;134;1;01/07/1995;01/07/2000;6,37;8,12
1;135;1;01/07/1995;01/07/2000;6,37;8,44
1;136;1;01/07/1995;01/07/2000;6,37;8,75
1;137;1;01/07/1995;01/07/2000;6,37;8,91
1;138;1;01/07/1995;01/07/2000;6,37;9,07
1;139;1;01/07/1995;01/07/2000;6,37;9,23
1;140;1;01/07/1995;01/07/2000;6,37;9,39
1;141;1;01/07/1995;01/07/2000;6,37;9,71
1;142;1;01/07/1995;01/07/2000;6,37;10,35
1;143;1;01/07/1995;01/07/2000;6,43;6,53
1;144;1;01/07/1995;01/07/2000;6,53;7
1;145;1;01/07/1995;01/07/2000;6,53;8,12
1;146;1;01/07/1995;01/07/2000;6,53;8,28
1;147;1;01/07/1995;01/07/2000;6,53;9,23
1;148;1;01/07/1995;01/07/2000;6,56;9,23
1;149;1;01/07/1995;01/07/2000;6,59;8,59
1;150;1;01/07/1995;01/07/2000;6,68;7
1;151;1;01/07/1995;01/07/2000;6,68;7,16
1;152;1;01/07/1995;01/07/2000;6,68;7,32
1;153;1;01/07/1995;01/07/2000;6,68;7,64
1;154;1;01/07/1995;01/07/2000;6,68;8,28
1;155;1;01/07/1995;01/07/2000;6,68;8,28
1;156;1;01/07/1995;01/07/2000;6,68;8,28
1;157;1;01/07/1995;01/07/2000;6,68;8,44
1;158;1;01/07/1995;01/07/2000;6,68;8,91
1;159;1;01/07/1995;01/07/2000;6,68;9,07
1;160;1;01/07/1995;01/07/2000;6,68;10,03
1;161;1;01/07/1995;01/07/2000;6,75;9,07
1;162;1;01/07/1995;01/07/2000;6,84;7,32
1;163;1;01/07/1995;01/07/2000;6,84;7,96
1;164;1;01/07/1995;01/07/2000;6,84;8,12
1;165;1;01/07/1995;01/07/2000;6,84;9,07
1;166;1;01/07/1995;01/07/2000;6,84;9,39
1;167;1;01/07/1995;01/07/2000;7;7,16
1;168;1;01/07/1995;01/07/2000;7;7,64
1;169;1;01/07/1995;01/07/2000;7;7,64
1;170;1;01/07/1995;01/07/2000;7;9,23
1;171;1;01/07/1995;01/07/2000;7;9,55
1;172;1;01/07/1995;01/07/2000;7;9,55
1;173;1;01/07/1995;01/07/2000;7;10,19
1;174;1;01/07/1995;01/07/2000;7,16;9,39
1;175;1;01/07/1995;01/07/2000;7,19;8,28
1;176;1;01/07/1995;01/07/2000;7,32;8,28
1;177;1;01/07/1995;01/07/2000;7,32;8,44
1;178;1;01/07/1995;01/07/2000;7,48;9,39
1;179;1;01/07/1995;01/07/2000;7,48;9,55
1;180;1;01/07/1995;01/07/2000;7,48;9,55
1;181;1;01/07/1995;01/07/2000;7,48;11,14
1;182;1;01/07/1995;01/07/2000;7,48;11,94
1;183;1;01/07/1995;01/07/2000;7,58;8,91
1;184;1;01/07/1995;01/07/2000;7,64;8,44
1;185;1;01/07/1995;01/07/2000;7,64;8,44
1;186;1;01/07/1995;01/07/2000;7,64;8,91
1;187;1;01/07/1995;01/07/2000;7,64;9,23
1;188;1;01/07/1995;01/07/2000;7,64;10,03
1;189;1;01/07/1995;01/07/2000;7,64;10,19
1;190;1;01/07/1995;01/07/2000;7,64;10,82
1;191;1;01/07/1995;01/07/2000;7,64;11,78
1;192;1;01/07/1995;01/07/2000;7,73;9,23
1;193;1;01/07/1995;01/07/2000;7,77;9,71
1;194;1;01/07/1995;01/07/2000;7,8;8,59
1;195;1;01/07/1995;01/07/2000;7,8;8,91
1;196;1;01/07/1995;01/07/2000;7,8;9,39
1;197;1;01/07/1995;01/07/2000;7,83;9,87
1;198;1;01/07/1995;01/07/2000;7,96;9,07
1;199;1;01/07/1995;01/07/2000;7,96;9,23
1;200;1;01/07/1995;01/07/2000;7,96;9,55
1;201;1;01/07/1995;01/07/2000;7,96;9,87
1;202;1;01/07/1995;01/07/2000;7,96;10,35
1;203;1;01/07/1995;01/07/2000;7,96;10,5
1;204;1;01/07/1995;01/07/2000;7,96;10,82
1;205;1;01/07/1995;01/07/2000;8,12;8,28
1;206;1;01/07/1995;01/07/2000;8,12;8,44
1;207;1;01/07/1995;01/07/2000;8,28;8,44
1;208;1;01/07/1995;01/07/2000;8,28;9,07
1;209;1;01/07/1995;01/07/2000;8,28;9,23
1;210;1;01/07/1995;01/07/2000;8,28;10,19
1;211;1;01/07/1995;01/07/2000;8,28;10,19
1;212;1;01/07/1995;01/07/2000;8,28;10,19
1;213;1;01/07/1995;01/07/2000;8,28;11,46
